standardized_venue,team,batting_score,bowling_score,overall_venue_score,team_fallback_score,final_venue_score,venue_rank_for_team,data_source
Wanderers Stadium,Afghanistan,,,,52.740346325682864,52.740346325682864,1,Team Fallback
Mangaung Oval,Australia,87.59740259740259,66.7948717948718,77.19613719613719,47.243768136625285,77.19613719613719,1,Historical Venue Data
SuperSport Park,Bangladesh,62.175324675324674,78.91025641025641,70.54279054279054,41.27514152514153,70.54279054279054,1,Historical Venue Data
Mangaung Oval,England,94.22077922077922,43.333333333333336,68.77705627705627,52.08387445887446,68.77705627705627,1,Historical Venue Data
Newlands,India,74.57792207792208,78.71794871794872,76.6479353979354,61.02106227106227,76.6479353979354,1,Historical Venue Data
Wanderers Stadium,Ireland,,,,62.11954711954712,62.11954711954712,1,Team Fallback
Wanderers Stadium,Namibia,,,,53.57642357642358,53.57642357642358,1,Team Fallback
Harare Sports Club,New Zealand,73.18181818181817,36.44230769230769,54.81206293706293,42.43652181152181,54.81206293706293,1,Historical Venue Data
Queens Sports Club,Pakistan,82.85714285714286,91.34615384615384,87.10164835164835,56.977631743256744,87.10164835164835,1,Historical Venue Data
Queens Sports Club,Scotland,57.72727272727272,78.58974358974359,68.15850815850816,59.38630813630814,68.15850815850816,1,Historical Venue Data
Buffalo Park,South Africa,81.2012987012987,90.06410256410257,85.63270063270063,76.89170204795205,85.63270063270063,1,Historical Venue Data
Queens Sports Club,Sri Lanka,59.38311688311689,71.15384615384616,65.26848151848152,39.75042814328528,65.26848151848152,1,Historical Venue Data
Harare Sports Club,West Indies,61.72077922077922,64.74358974358975,63.232184482184486,47.34105180533752,63.232184482184486,1,Historical Venue Data
Harare Sports Club,Zimbabwe,51.81818181818182,67.37179487179488,59.59498834498835,45.52104145854146,59.59498834498835,1,Historical Venue Data
