standardized_venue,team,batting_score,bowling_score,overall_venue_score,team_fallback_score,final_venue_score,venue_rank_for_team,data_source
Wanderers Stadium,Afghanistan,,,,52.740346325682864,52.740346325682864,1,Team Fallback
SuperSport Park,Afghanistan,,,,52.740346325682864,52.740346325682864,2,Team Fallback
Newlands,Afghanistan,,,,52.740346325682864,52.740346325682864,3,Team Fallback
Kingsmead,Afghanistan,,,,52.740346325682864,52.740346325682864,4,Team Fallback
St George's Park,Afghanistan,,,,52.740346325682864,52.740346325682864,5,Team Fallback
Mangaung Oval,Afghanistan,,,,52.740346325682864,52.740346325682864,6,Team Fallback
Boland Park,Afghanistan,,,,52.740346325682864,52.740346325682864,7,Team Fallback
Buffalo Park,Afghanistan,,,,52.740346325682864,52.740346325682864,8,Team Fallback
Harare Sports Club,Afghanistan,,,,52.740346325682864,52.740346325682864,9,Team Fallback
Queens Sports Club,Afghanistan,,,,52.740346325682864,52.740346325682864,10,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Afghanistan,,,,52.740346325682864,52.740346325682864,11,Team Fallback
Namibia Cricket Ground,Afghanistan,,,,52.740346325682864,52.740346325682864,12,Team Fallback
Mangaung Oval,Australia,87.59740259740259,66.7948717948718,77.19613719613719,47.243768136625285,77.19613719613719,1,Historical Venue Data
Kingsmead,Australia,83.44155844155844,24.102564102564106,53.77206127206127,47.243768136625285,53.77206127206127,2,Historical Venue Data
Newlands,Australia,69.54545454545453,35.06410256410256,52.30477855477855,47.243768136625285,52.30477855477855,3,Historical Venue Data
SuperSport Park,Australia,82.82467532467533,14.16666666666667,48.495670995671,47.243768136625285,48.495670995671,4,Historical Venue Data
Buffalo Park,Australia,,,,47.243768136625285,47.243768136625285,5,Team Fallback
Harare Sports Club,Australia,,,,47.243768136625285,47.243768136625285,6,Team Fallback
Queens Sports Club,Australia,,,,47.243768136625285,47.243768136625285,7,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Australia,,,,47.243768136625285,47.243768136625285,8,Team Fallback
Namibia Cricket Ground,Australia,,,,47.243768136625285,47.243768136625285,9,Team Fallback
Wanderers Stadium,Australia,47.53246753246753,33.23717948717949,40.384823509823505,47.243768136625285,40.384823509823505,10,Historical Venue Data
Boland Park,Australia,23.7012987012987,37.98076923076923,30.84103396603397,47.243768136625285,30.84103396603397,11,Historical Venue Data
St George's Park,Australia,15.551948051948052,39.87179487179487,27.71187146187146,47.243768136625285,27.71187146187146,12,Historical Venue Data
SuperSport Park,Bangladesh,62.175324675324674,78.91025641025641,70.54279054279054,41.27514152514153,70.54279054279054,1,Historical Venue Data
Harare Sports Club,Bangladesh,60.35714285714286,67.17948717948718,63.76831501831502,41.27514152514153,63.76831501831502,2,Historical Venue Data
Newlands,Bangladesh,,,,41.27514152514153,41.27514152514153,3,Team Fallback
Kingsmead,Bangladesh,,,,41.27514152514153,41.27514152514153,4,Team Fallback
St George's Park,Bangladesh,,,,41.27514152514153,41.27514152514153,5,Team Fallback
Mangaung Oval,Bangladesh,,,,41.27514152514153,41.27514152514153,6,Team Fallback
Queens Sports Club,Bangladesh,,,,41.27514152514153,41.27514152514153,7,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Bangladesh,,,,41.27514152514153,41.27514152514153,8,Team Fallback
Namibia Cricket Ground,Bangladesh,,,,41.27514152514153,41.27514152514153,9,Team Fallback
Boland Park,Bangladesh,40.519480519480524,23.30128205128205,31.910381285381288,41.27514152514153,31.910381285381288,10,Historical Venue Data
Buffalo Park,Bangladesh,9.772727272727273,38.36538461538462,24.069055944055947,41.27514152514153,24.069055944055947,11,Historical Venue Data
Wanderers Stadium,Bangladesh,11.785714285714286,20.384615384615383,16.085164835164836,41.27514152514153,16.085164835164836,12,Historical Venue Data
Mangaung Oval,England,94.22077922077922,43.333333333333336,68.77705627705627,52.08387445887446,68.77705627705627,1,Historical Venue Data
Wanderers Stadium,England,63.214285714285715,57.5,60.35714285714286,52.08387445887446,60.35714285714286,2,Historical Venue Data
Kingsmead,England,,31.28205128205128,,52.08387445887446,52.08387445887446,3,Team Fallback
Boland Park,England,,,,52.08387445887446,52.08387445887446,4,Team Fallback
Buffalo Park,England,,,,52.08387445887446,52.08387445887446,5,Team Fallback
Harare Sports Club,England,,,,52.08387445887446,52.08387445887446,6,Team Fallback
Queens Sports Club,England,,,,52.08387445887446,52.08387445887446,7,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,England,,,,52.08387445887446,52.08387445887446,8,Team Fallback
Namibia Cricket Ground,England,,,,52.08387445887446,52.08387445887446,9,Team Fallback
St George's Park,England,53.01948051948052,48.81410256410256,50.91679154179154,52.08387445887446,50.91679154179154,10,Historical Venue Data
SuperSport Park,England,79.18831168831169,6.538461538461538,42.86338661338661,52.08387445887446,42.86338661338661,11,Historical Venue Data
Newlands,England,43.27922077922078,31.73076923076923,37.504995004995,52.08387445887446,37.504995004995,12,Historical Venue Data
Newlands,India,74.57792207792208,78.71794871794872,76.6479353979354,61.02106227106227,76.6479353979354,1,Historical Venue Data
Harare Sports Club,India,49.54545454545455,81.73076923076923,65.6381118881119,61.02106227106227,65.6381118881119,2,Historical Venue Data
SuperSport Park,India,39.51298701298702,84.61538461538463,62.06418581418582,61.02106227106227,62.06418581418582,3,Historical Venue Data
