team,standardized_venue,historical_matches
Australia,Boland Park,1
Australia,Kingsmead,1
Australia,Mangaung Oval,3
Australia,Newlands,1
Australia,St George's Park,1
Australia,SuperSport Park,2
Australia,Wanderers Stadium,2
Bangladesh,Boland Park,1
Bangladesh,Buffalo Park,1
Bangladesh,Harare Sports Club,9
Bangladesh,SuperSport Park,2
Bangladesh,Wanderers Stadium,1
England,Kingsmead,1
England,Mangaung Oval,3
England,Newlands,2
England,St George's Park,1
England,SuperSport Park,1
England,Wanderers Stadium,2
India,Boland Park,3
India,Harare Sports Club,9
India,Kingsmead,1
India,Newlands,2
India,St George's Park,2
India,SuperSport Park,2
India,Wanderers Stadium,2
Ireland,Harare Sports Club,16
Ireland,Queens Sports Club,2
Namibia,Namibia Cricket Ground,4
New Zealand,Harare Sports Club,3
New Zealand,Kingsmead,1
New Zealand,SuperSport Park,1
Pakistan,Boland Park,1
Pakistan,Harare Sports Club,3
Pakistan,Kingsmead,1
Pakistan,Newlands,2
Pakistan,Queens Sports Club,8
Pakistan,St George's Park,1
Pakistan,SuperSport Park,3
Pakistan,Wanderers Stadium,3
Scotland,Harare Sports Club,3
Scotland,Namibia Cricket Ground,3
Scotland,Queens Sports Club,6
South Africa,Boland Park,7
South Africa,Buffalo Park,3
South Africa,Kingsmead,8
South Africa,Mangaung Oval,7
South Africa,Newlands,9
South Africa,St George's Park,8
South Africa,SuperSport Park,15
South Africa,Wanderers Stadium,14
Sri Lanka,Harare Sports Club,6
Sri Lanka,Kingsmead,2
Sri Lanka,Newlands,2
Sri Lanka,Queens Sports Club,9
Sri Lanka,St George's Park,2
Sri Lanka,SuperSport Park,2
Sri Lanka,Wanderers Stadium,2
West Indies,Buffalo Park,2
West Indies,Harare Sports Club,9
West Indies,Kingsmead,1
West Indies,Queens Sports Club,3
West Indies,St George's Park,1
West Indies,SuperSport Park,1
West Indies,Wanderers Stadium,1
Zimbabwe,Boland Park,1
Zimbabwe,Harare Sports Club,52
Zimbabwe,Mangaung Oval,1
Zimbabwe,Queens Sports Club,17
Afghanistan,Wanderers Stadium,0
Afghanistan,SuperSport Park,0
Afghanistan,Newlands,0
Afghanistan,Kingsmead,0
Afghanistan,St George's Park,0
Afghanistan,Mangaung Oval,0
Afghanistan,Boland Park,0
Afghanistan,Buffalo Park,0
Afghanistan,Harare Sports Club,0
Afghanistan,Queens Sports Club,0
Afghanistan,Mosi-oa-Tunya International Cricket Stadium,0
Afghanistan,Namibia Cricket Ground,0
Afghanistan,Wanderers Stadium,0
Afghanistan,SuperSport Park,0
Afghanistan,Newlands,0
Afghanistan,Kingsmead,0
Afghanistan,St George's Park,0
Afghanistan,Mangaung Oval,0
Afghanistan,Boland Park,0
Afghanistan,Buffalo Park,0
Afghanistan,Harare Sports Club,0
Afghanistan,Queens Sports Club,0
Afghanistan,Mosi-oa-Tunya International Cricket Stadium,0
Afghanistan,Namibia Cricket Ground,0
