file,match_id,date,gender,match_type,venue,city,team1,team2,winner,standardized_venue
1007649.json,3742,2016-06-11,male,ODI,Harare Sports Club,,Zimbabwe,India,India,Harare Sports Club
1007651.json,3744,2016-06-13,male,ODI,Harare Sports Club,,Zimbabwe,India,India,Harare Sports Club
1007653.json,3746,2016-06-15,male,ODI,Harare Sports Club,,Zimbabwe,India,India,Harare Sports Club
1059710.json,3804,2016-11-14,male,ODI,Harare Sports Club,,Zimbabwe,Sri Lanka,Sri Lanka,Harare Sports Club
1059711.json,3805,2016-11-16,male,ODI,Harare Sports Club,,Sri Lanka,West Indies,West Indies,Harare Sports Club
1059712.json,3806,2016-11-19,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,West Indies,,Queens Sports Club
1059713.json,3807,2016-11-21,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,Sri Lanka,,Queens Sports Club
1059714.json,3808,2016-11-23,male,ODI,Queens Sports Club,Bulawayo,Sri Lanka,West Indies,Sri Lanka,Queens Sports Club
1059715.json,3809,2016-11-25,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,West Indies,Zimbabwe,Queens Sports Club
1059716.json,3810,2016-11-27,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,Sri Lanka,Sri Lanka,Queens Sports Club
1075505.json,3925,2017-10-18,male,ODI,Boland Park,Paarl,South Africa,Bangladesh,South Africa,Boland Park
1075506.json,3929,2017-10-22,male,ODI,Buffalo Park,East London,South Africa,Bangladesh,South Africa,Buffalo Park
1122279.json,3969,2018-02-01,male,ODI,Kingsmead,Durban,South Africa,India,India,Kingsmead
1122280.json,3970,2018-02-04,male,ODI,SuperSport Park,Centurion,South Africa,India,India,SuperSport Park
1122281.json,3971,2018-02-07,male,ODI,Newlands,Cape Town,India,South Africa,India,Newlands
1122282.json,3973,2018-02-10,male,ODI,The Wanderers Stadium,Johannesburg,India,South Africa,South Africa,Wanderers Stadium
1122283.json,3976,2018-02-13,male,ODI,St George's Park,Port Elizabeth,India,South Africa,India,St George's Park
1122284.json,3978,2018-02-16,male,ODI,SuperSport Park,Centurion,South Africa,India,India,SuperSport Park
1133002.json,3986,2018-03-06,male,ODI,Harare Sports Club,,Papua New Guinea,Ireland,Ireland,Harare Sports Club
1133010.json,3993,2018-03-10,male,ODI,Harare Sports Club,,West Indies,Ireland,West Indies,Harare Sports Club
1133012.json,3994,2018-03-10,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,Hong Kong,Zimbabwe,Queens Sports Club
1133017.json,3996,2018-03-12,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,Scotland,,Queens Sports Club
1133019.json,3998,2018-03-15,male,ODI,Queens Sports Club,Bulawayo,Scotland,United Arab Emirates,Scotland,Queens Sports Club
1133022.json,3999,2018-03-16,male,ODI,Harare Sports Club,,Zimbabwe,Ireland,Zimbabwe,Harare Sports Club
1133025.json,4001,2018-03-18,male,ODI,Harare Sports Club,,Ireland,Scotland,Ireland,Harare Sports Club
1133026.json,4002,2018-03-19,male,ODI,Harare Sports Club,,Zimbabwe,West Indies,West Indies,Harare Sports Club
1133028.json,4004,2018-03-21,male,ODI,Harare Sports Club,,West Indies,Scotland,West Indies,Harare Sports Club
1133029.json,4005,2018-03-22,male,ODI,Harare Sports Club,,United Arab Emirates,Zimbabwe,United Arab Emirates,Harare Sports Club
1134540.json,3984,2018-03-04,male,ODI,Harare Sports Club,,United Arab Emirates,Papua New Guinea,United Arab Emirates,Harare Sports Club
1142920.json,4015,2018-07-13,male,ODI,Queens Sports Club,Bulawayo,Pakistan,Zimbabwe,Pakistan,Queens Sports Club
1142921.json,4017,2018-07-16,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,Pakistan,Pakistan,Queens Sports Club
1142922.json,4019,2018-07-18,male,ODI,Queens Sports Club,Bulawayo,Zimbabwe,Pakistan,Pakistan,Queens Sports Club
1142923.json,4020,2018-07-20,male,ODI,Queens Sports Club,Bulawayo,Pakistan,Zimbabwe,Pakistan,Queens Sports Club
1142924.json,4021,2018-07-22,male,ODI,Queens Sports Club,Bulawayo,Pakistan,Zimbabwe,Pakistan,Queens Sports Club
1144147.json,4050,2018-10-03,male,ODI,Mangaung Oval,Bloemfontein,South Africa,Zimbabwe,South Africa,Mangaung Oval
1144148.json,4051,2018-10-06,male,ODI,Boland Park,Paarl,Zimbabwe,South Africa,South Africa,Boland Park
1144156.json,4080,2019-01-19,male,ODI,St George's Park,Port Elizabeth,South Africa,Pakistan,Pakistan,St George's Park
1144157.json,4081,2019-01-22,male,ODI,Kingsmead,Durban,South Africa,Pakistan,South Africa,Kingsmead
1144158.json,4084,2019-01-25,male,ODI,SuperSport Park,Centurion,South Africa,Pakistan,South Africa,SuperSport Park
1144159.json,4087,2019-01-27,male,ODI,The Wanderers Stadium,Johannesburg,South Africa,Pakistan,Pakistan,Wanderers Stadium
1144160.json,4090,2019-01-30,male,ODI,Newlands,Cape Town,South Africa,Pakistan,South Africa,Newlands
1144167.json,4104,2019-03-03,male,ODI,The Wanderers Stadium,Johannesburg,South Africa,Sri Lanka,South Africa,Wanderers Stadium
1144168.json,4107,2019-03-06,male,ODI,SuperSport Park,Centurion,South Africa,Sri Lanka,South Africa,SuperSport Park
1144169.json,4112,2019-03-10,male,ODI,Kingsmead,Durban,South Africa,Sri Lanka,South Africa,Kingsmead
1144170.json,4114,2019-03-13,male,ODI,St George's Park,Port Elizabeth,South Africa,Sri Lanka,South Africa,St George's Park
1144171.json,4115,2019-03-16,male,ODI,Newlands,Cape Town,South Africa,Sri Lanka,South Africa,Newlands
1179272.json,4121,2019-04-10,male,ODI,Harare Sports Club,Harare,Zimbabwe,United Arab Emirates,Zimbabwe,Harare Sports Club
1179273.json,4122,2019-04-12,male,ODI,Harare Sports Club,Harare,Zimbabwe,United Arab Emirates,Zimbabwe,Harare Sports Club
1179275.json,4124,2019-04-16,male,ODI,Harare Sports Club,Harare,Zimbabwe,United Arab Emirates,Zimbabwe,Harare Sports Club
1185310.json,4234,2020-02-04,male,ODI,Newlands,Cape Town,South Africa,England,South Africa,Newlands
1185311.json,4238,2020-02-07,male,ODI,Kingsmead,Durban,South Africa,England,,Kingsmead
1185312.json,4242,2020-02-09,male,ODI,The Wanderers Stadium,Johannesburg,South Africa,England,England,Wanderers Stadium
1185319.json,4248,2020-02-29,male,ODI,Boland Park,Paarl,South Africa,Australia,South Africa,Boland Park
1185320.json,4252,2020-03-04,male,ODI,Mangaung Oval,Bloemfontein,South Africa,Australia,South Africa,Mangaung Oval
1251572.json,4285,2021-04-02,male,ODI,"SuperSport Park, Centurion",Centurion,South Africa,Pakistan,Pakistan,SuperSport Park
1251573.json,4286,2021-04-04,male,ODI,The Wanderers Stadium,Johannesburg,South Africa,Pakistan,South Africa,Wanderers Stadium
1251574.json,4287,2021-04-07,male,ODI,"SuperSport Park, Centurion",Centurion,Pakistan,South Africa,Pakistan,SuperSport Park
1267677.json,4304,2021-07-16,male,ODI,Harare Sports Club,Harare,Bangladesh,Zimbabwe,Bangladesh,Harare Sports Club
1267678.json,4306,2021-07-18,male,ODI,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club
1267679.json,4308,2021-07-20,male,ODI,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club
1277073.json,4337,2021-11-26,male,ODI,"SuperSport Park, Centurion",Centurion,South Africa,Netherlands,,SuperSport Park
1277082.json,4344,2022-01-19,male,ODI,"Boland Park, Paarl",Paarl,South Africa,India,South Africa,Boland Park
1277083.json,4346,2022-01-21,male,ODI,"Boland Park, Paarl",Paarl,India,South Africa,South Africa,Boland Park
1277084.json,4349,2022-01-23,male,ODI,"Newlands, Cape Town",Cape Town,South Africa,India,South Africa,Newlands
1277097.json,4370,2022-03-18,male,ODI,"SuperSport Park, Centurion",Centurion,Bangladesh,South Africa,Bangladesh,SuperSport Park
1277098.json,4372,2022-03-20,male,ODI,"The Wanderers Stadium, Johannesburg",Johannesburg,Bangladesh,South Africa,South Africa,Wanderers Stadium
1277099.json,4375,2022-03-23,male,ODI,"SuperSport Park, Centurion",Centurion,South Africa,Bangladesh,Bangladesh,SuperSport Park
1323292.json,4441,2022-08-05,male,ODI,Harare Sports Club,Harare,Bangladesh,Zimbabwe,Zimbabwe,Harare Sports Club
1323293.json,4442,2022-08-07,male,ODI,Harare Sports Club,Harare,Bangladesh,Zimbabwe,Zimbabwe,Harare Sports Club
1323294.json,4443,2022-08-10,male,ODI,Harare Sports Club,Harare,Bangladesh,Zimbabwe,Bangladesh,Harare Sports Club
1325549.json,4451,2022-08-18,male,ODI,Harare Sports Club,Harare,Zimbabwe,India,India,Harare Sports Club
1325550.json,4454,2022-08-20,male,ODI,Harare Sports Club,Harare,Zimbabwe,India,India,Harare Sports Club
1325551.json,4457,2022-08-22,male,ODI,Harare Sports Club,Harare,India,Zimbabwe,India,Harare Sports Club
