standardized_venue,team,batting_score,bowling_score,overall_venue_score,team_fallback_score,final_venue_score,venue_rank_for_team,data_source
Wanderers Stadium,Afghanistan,,,,52.740346325682864,52.740346325682864,1,Team Fallback
SuperSport Park,Afghanistan,,,,52.740346325682864,52.740346325682864,2,Team Fallback
Newlands,Afghanistan,,,,52.740346325682864,52.740346325682864,3,Team Fallback
Mangaung Oval,Australia,87.59740259740259,66.7948717948718,77.19613719613719,47.243768136625285,77.19613719613719,1,Historical Venue Data
Kingsmead,Australia,83.44155844155844,24.102564102564106,53.77206127206127,47.243768136625285,53.77206127206127,2,Historical Venue Data
Newlands,Australia,69.54545454545453,35.06410256410256,52.30477855477855,47.243768136625285,52.30477855477855,3,Historical Venue Data
SuperSport Park,Bangladesh,62.175324675324674,78.91025641025641,70.54279054279054,41.27514152514153,70.54279054279054,1,Historical Venue Data
Harare Sports Club,Bangladesh,60.35714285714286,67.17948717948718,63.76831501831502,41.27514152514153,63.76831501831502,2,Historical Venue Data
Newlands,Bangladesh,,,,41.27514152514153,41.27514152514153,3,Team Fallback
Mangaung Oval,England,94.22077922077922,43.333333333333336,68.77705627705627,52.08387445887446,68.77705627705627,1,Historical Venue Data
Wanderers Stadium,England,63.214285714285715,57.5,60.35714285714286,52.08387445887446,60.35714285714286,2,Historical Venue Data
Kingsmead,England,,31.28205128205128,,52.08387445887446,52.08387445887446,3,Team Fallback
Newlands,India,74.57792207792208,78.71794871794872,76.6479353979354,61.02106227106227,76.6479353979354,1,Historical Venue Data
Harare Sports Club,India,49.54545454545455,81.73076923076923,65.6381118881119,61.02106227106227,65.6381118881119,2,Historical Venue Data
SuperSport Park,India,39.51298701298702,84.61538461538463,62.06418581418582,61.02106227106227,62.06418581418582,3,Historical Venue Data
Wanderers Stadium,Ireland,,,,62.11954711954712,62.11954711954712,1,Team Fallback
SuperSport Park,Ireland,,,,62.11954711954712,62.11954711954712,2,Team Fallback
Newlands,Ireland,,,,62.11954711954712,62.11954711954712,3,Team Fallback
Wanderers Stadium,Namibia,,,,53.57642357642358,53.57642357642358,1,Team Fallback
SuperSport Park,Namibia,,,,53.57642357642358,53.57642357642358,2,Team Fallback
Newlands,Namibia,,,,53.57642357642358,53.57642357642358,3,Team Fallback
Harare Sports Club,New Zealand,73.18181818181817,36.44230769230769,54.81206293706293,42.43652181152181,54.81206293706293,1,Historical Venue Data
Wanderers Stadium,New Zealand,,,,42.43652181152181,42.43652181152181,2,Team Fallback
Newlands,New Zealand,,,,42.43652181152181,42.43652181152181,3,Team Fallback
Queens Sports Club,Pakistan,82.85714285714286,91.34615384615384,87.10164835164835,56.977631743256744,87.10164835164835,1,Historical Venue Data
Wanderers Stadium,Pakistan,76.03896103896105,61.08974358974359,68.56435231435232,56.977631743256744,68.56435231435232,2,Historical Venue Data
SuperSport Park,Pakistan,85.1948051948052,43.52564102564102,64.3602231102231,56.977631743256744,64.3602231102231,3,Historical Venue Data
Queens Sports Club,Scotland,57.72727272727272,78.58974358974359,68.15850815850816,59.38630813630814,68.15850815850816,1,Historical Venue Data
Namibia Cricket Ground,Scotland,42.85714285714286,89.74358974358975,66.3003663003663,59.38630813630814,66.3003663003663,2,Historical Venue Data
Wanderers Stadium,Scotland,,,,59.38630813630814,59.38630813630814,3,Team Fallback
Buffalo Park,South Africa,81.2012987012987,90.06410256410257,85.63270063270063,76.89170204795205,85.63270063270063,1,Historical Venue Data
Wanderers Stadium,South Africa,87.66233766233765,75.06410256410257,81.36322011322011,76.89170204795205,81.36322011322011,2,Historical Venue Data
Kingsmead,South Africa,82.14285714285714,75.51282051282053,78.82783882783883,76.89170204795205,78.82783882783883,3,Historical Venue Data
Queens Sports Club,Sri Lanka,59.38311688311689,71.15384615384616,65.26848151848152,39.75042814328528,65.26848151848152,1,Historical Venue Data
Harare Sports Club,Sri Lanka,54.15584415584415,66.08974358974359,60.12279387279387,39.75042814328528,60.12279387279387,2,Historical Venue Data
Newlands,Sri Lanka,66.94805194805195,19.423076923076923,43.18556443556444,39.75042814328528,43.18556443556444,3,Historical Venue Data
Harare Sports Club,West Indies,61.72077922077922,64.74358974358975,63.232184482184486,47.34105180533752,63.232184482184486,1,Historical Venue Data
Queens Sports Club,West Indies,55.29220779220779,64.8076923076923,60.04995004995005,47.34105180533752,60.04995004995005,2,Historical Venue Data
St George's Park,West Indies,50.194805194805184,54.55128205128205,52.373043623043614,47.34105180533752,52.373043623043614,3,Historical Venue Data
Harare Sports Club,Zimbabwe,51.81818181818182,67.37179487179488,59.59498834498835,45.52104145854146,59.59498834498835,1,Historical Venue Data
Wanderers Stadium,Zimbabwe,,,,45.52104145854146,45.52104145854146,2,Team Fallback
SuperSport Park,Zimbabwe,,,,45.52104145854146,45.52104145854146,3,Team Fallback
